Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM▼,BPM,VORP,Awards,Player-additional
39,Donte DiVincenzo,29,MIN,SG,82,82,2494,12.5,.567,.771,.126,3.0,11.6,7.4,16.8,2.0,1.2,11.8,16.9,2.3,2.9,5.2,.100,0.0,0.7,0.8,1.7,,divindo01
40,Sandro Mamukelashvili,26,TOR,C,80,13,1751,18.1,.637,.469,.250,6.9,18.8,12.8,12.4,1.8,2.3,8.7,18.8,3.6,2.5,6.2,.169,2.1,0.7,2.8,2.1,6MOY-10,mamuksa01
41,Derik Queen,21,NOP,C,81,48,2023,15.9,.546,.118,.365,7.2,23.5,15.2,21.1,2.0,3.5,18.0,21.8,0.4,2.3,2.7,.063,-1.5,0.7,-0.8,0.6,,queende01
42,Anthony Black,22,ORL,PG,64,40,1910,13.7,.549,.389,.299,2.7,11.6,7.1,18.5,2.3,2.1,13.1,22.2,0.3,2.4,2.6,.067,-1.2,0.7,-0.6,0.7,,blackan01
43,Donovan Clingan,21,POR,C,77,77,2094,20.9,.604,.360,.297,17.7,28.6,23.1,11.4,1.0,5.5,10.9,16.9,5.1,3.5,8.6,.197,2.4,0.6,3.0,2.6,,clingdo01
44,De'Aaron Fox,28,SAS,PG,72,72,2231,17.6,.578,.377,.235,2.1,10.7,6.5,29.6,1.9,0.8,12.4,24.9,3.4,3.0,6.4,.138,1.5,0.6,2.2,2.4,AS,foxde01
45,Marcus Smart,31,LAL,SG,62,54,1769,9.9,.543,.616,.271,2.5,8.7,5.7,13.6,2.4,1.2,14.7,15.4,0.4,1.6,2.0,.054,-2.9,0.6,-2.2,-0.1,,smartma01
46,Kawhi Leonard,34,LAC,SF,65,65,2085,27.9,.629,.354,.331,4.1,18.6,11.5,21.0,2.9,1.2,8.4,33.5,6.5,2.7,9.2,.212,7.4,0.6,8.0,5.3,MVP-7CPOY-10ASNBA2,leonaka01
47,Nic Claxton,26,BRK,C,69,68,1920,17.6,.592,.033,.393,9.6,19.9,14.5,21.8,1.2,3.7,12.3,17.7,3.3,1.5,4.8,.121,0.3,0.6,0.9,1.4,,claxtni01
48,Jaden McDaniels,25,MIN,PF,73,73,2316,14.0,.611,.309,.218,3.7,10.9,7.4,12.2,1.7,2.7,12.9,18.5,2.5,2.7,5.2,.109,-0.9,0.6,-0.3,1.0,,mcdanja02
49,Herbert Jones,27,NOP,SF,56,56,1588,9.1,.491,.542,.130,3.2,9.8,6.4,12.9,2.7,1.6,12.6,15.2,-0.4,1.1,0.7,.022,-3.7,0.6,-3.1,-0.5,,joneshe01
50,Immanuel Quickley,26,TOR,PG,70,70,2231,16.6,.577,.526,.229,1.9,12.5,7.2,26.4,2.0,0.2,9.3,21.1,3.9,2.6,6.5,.140,1.9,0.6,2.4,2.5,,quickim01
51,Karl-Anthony Towns,30,NYK,C,75,75,2322,22.0,.619,.297,.403,11.2,31.7,21.4,14.7,1.4,1.8,13.3,25.9,5.5,4.0,9.5,.197,2.7,0.6,3.3,3.1,AS,townska01
52,Deni Avdija,25,POR,SF,66,66,2199,20.3,.600,.369,.573,3.6,19.0,11.2,32.2,1.1,1.7,16.0,29.3,4.5,2.4,7.0,.152,3.7,0.6,4.3,3.5,AS,avdijde01
